"","en","af","am","ar","as","az","be","bg","bn","bs","cs","da","de","dv","el","es","et","fa","fi","fr","ga","he","hi","hr","hy","id","is","it","ja","jv","ka","kk","ko","ky","lb","lt","lv","mk","mn","ms","mt","my","ne","nl","no","pl","ps","pt","ro","ru","sk","sl","so","sq","sr","su","sv","sw","tg","th","tk","tl","tr","uk","ur","uz","vi","zh"
"slim","slim","skraal","ቀጭን","معتدل البنيه","পাতল","incə","тонкі","тънък","পাতলা","vitak","štíhlý","slank","schlank","ލުޅާފަތި","λεπτός","delgado","sale","باریک","hoikka","svelte","caol","רָזֶה","छरहरा","vitak","բարակ","langsing","grannur","magra","スリム","langsing","გამხდარი","арық","날씬한","сымбаттуу","schlank","lieknas","slaids","тенок","туранхай","nipis","SLIM","ပါးလွှာတယ်။","पातलो","dun","slank","szczupły","پتلی","magro","subţire","стройное","štíhly","vitek","caato ah","të hollë","слим","langsing","smal","mwembamba","борик","บาง","inçe","slim","ince","тонкий","پتلا","nozik","Gầy","苗条的"
"lithe","lithe","lenig","ሊተ","رشيق","lithe","elastik","гнуткі","гъвкав","লিথ","gipka","pružný","smidig","geschmeidig","ލިތު އެވެ","ευκίνητος","ágil","nõtke","نرم","notkea","souple","lithe","גָמִישׁ","लचीला","gibak","ճկուն","lentur","liðugur","agile","しなやかな","lithi","მოქნილი","икемді","유연한","ийкемдүү","liicht","lankstus","lokans","жилав","уян хатан","lincah","ħelu","ပေါ့ပေါ့ပါးပါး","lithe","lenig","smidig","gibki","لیټ","ágil","sprinten","гибкий","pružný","prožen","lith","i zhdërvjellët","гипка","leuleus","smidig","lithe","ласт","แสง","lit","masigla","kıvrak","гнучкий","lithe","yumshoq","uyển chuyển","轻盈"
"thin","thin","dun","ቀጭን","نحيف","পাতল","nazik","тонкі","тънък","পাতলা","tanak","tenký","tynd","dünn","ހިމަ","λεπτός","delgado","õhuke","لاغر","ohut","mince","tanaí","רזה","पतला","tanak","բարակ","tipis","þunnt","magro","薄い","tipis","გამხდარი","жұқа","얇은","ичке","dënn","plonas","tievs","тенки","нимгэн","kurus","irqiq","ပိန်တယ်။","पातलो","dun","tynn","cienki","پتلی","fino","subţire","тонкий","tenký","tanek","dhuuban","i hollë","танак","ipis","tunn","nyembamba","борик","บาง","inçe","manipis","ince","тонкий","پتلی","yupqa","gầy","薄的"
"skinny","skinny","maer","ቀጫጫ","نحيف","খীণ","arıq","худы","кльощав","চর্মসার","mršav","hubená","tynd","schlank","ހިކި","κοκαλιάρης","flaco","kõhn","لاغر","laiha","mince","sgith","רזה","पतला-दुबला","mršav","նիհար","kurus","horaður","magro","スキニー","kuru","გამხდარი","арық","마른","арык","dënn","liesas","izdilis","слаби","туранхай","kurus","skinny","ပိန်တယ်။","पातलो","mager","mager","chudy","پتلی","magro","slab","тощий","chudá","suh","caato ah","i dobët","мршав","cekeng","mager","ngozi","лоғар","ผอม","ýuka","payat","sıska","худий","پتلی","oriq","gầy gò","瘦骨嶙峋的"
"slender","slender","skraal","ቀጭን","نحيل","চিকন","qamətli","стройны","стройна","সরু","vitka","štíhlý","slank","schlank","ފަލަކޮށް ހުރެއެވެ","λεπτός","esbelto","sihvakas","باریک","hoikka","mince","caol","רָזֶה","पतला","vitka","սլացիկ","ramping","mjótt","snello","細い","langsing","სუსტი","жіңішке","날씬한","сымбаттуу","schlank","lieknas","slaids","витка","нарийхан","langsing","irqaq","သွယ်","पातलो","slank","slank","smukły","پتلی","delgado","subţire","стройный","štíhly","vitek","caato ah","i hollë","витка","langsing","smal","mwembamba","борик","ผอมบาง","ýuka","payat","ince","стрункий","پتلا","nozik","mảnh khảnh","苗条的"
"dieting","dieting","dieet","አመጋገብ","اتباع نظام غذائي","ডায়েটিং কৰা","pəhriz saxlamaq","дыеты","диета","ডায়েটিং","dijeta","diety","slankekure","Diät","ޑައިޓިން ކުރުމެވެ","δίαιτα","haciendo dieta","dieediga","رژیم گرفتن","laihduttaminen","suivre un régime","aiste bia","דיאטה","परहेज़","dijeta","դիետա պահելը","diet","megrun","dieta","ダイエット","dieting","დიეტა","диета ұстау","다이어트","диета кармоо","diät","dietos","diētas ievērošana","диети","хоолны дэглэм барих","berdiet","dieti","အစာစားခြင်း။","डाइटिंग","op dieet zijn","slanking","dieta","خواړه ورکول","fazendo dieta","ținând dietă","на диете","diéty","dieta","cunto cunid","duke mbajtur dietë","дијета","dieting","bantning","lishe","парҳез","การอดอาหาร","iýmitlenmek","pagdidiyeta","diyet yapmak","дотримання дієти","پرہیز","parhez tutish","ăn kiêng","节食"
"overeating","overeating","ooreet","ከመጠን በላይ መብላት","الإفراط في الأكل","অতিমাত্ৰা খাদ্য খোৱা","həddindən artıq yemək","пераяданне","преяждане","অতিরিক্ত খাওয়া","prejedanje","přejídání","overspisning","Überessen","މާގިނައިން ކެއުމެވެ","υπερφαγία","comer en exceso","ülesöömine","پرخوری","ylensyöminen","trop manger","ró-ithe","אכילת יתר","ज्यादा खा","prejedanje","չափից շատ ուտելը","makan berlebihan","ofáti","eccesso di cibo","過食","kakehan mangan","ზედმეტი ჭამა","артық тамақтану","과식","ашыкча тамактануу","iwwergräifend","persivalgymas","pārēšanās","прејадување","хэт их идэх","makan berlebihan","tiekol iżżejjed","အလွန်အကျွံစားခြင်း။","धेरै खाने","te veel eten","overspising","przejadanie się","ډیر خوراک کول","comer demais","supraalimentare","переедание","prejedanie sa","prenajedanje","cunto badan","ngrënia e tepërt","преједање","overeating","överätande","kula kupita kiasi","аз ҳад зиёд хӯрдан","กินมากเกินไป","artykmaç iýmitlenmek","labis na pagkain","aşırı yeme","переїдання","زیادہ کھانا","ortiqcha ovqatlanish","ăn quá nhiều","暴饮暴食"
"sedentary","sedentary","sittende","የማይንቀሳቀስ","كَسُول","বহি থকা","oturaq","маларухомы","заседнал","আসীন","sjedilački","sedavý","stillesiddende","sitzend","އިށީނދެގެން ތިބެގެންނެވެ","καθιστικός","sedentario","istuv","نشسته","istumista","sédentaire","suaite","כָּרוּך בִּישִׁיבָה","गतिहीन","sjedeći","նստակյաց","menetap","kyrrsetu","sedentario","座りがちな","sedentary","მჯდომარე","отырықшы","앉아 있는","отургуч","sedentär","sėdimas","mazkustīgs","седентарен","суурин","sedentari","sedentarju","အထိုင်များ","आसीन","gevestigd","stillesittende","siedzący","ناست","sedentário","sedentar","малоподвижный","sedavý","sedeči","fadhiid","i ulur","седентаран","sedentary","stillasittande","kukaa tu","нишастан","นั่งนิ่ง","oturýan","laging nakaupo","hareketsiz","малорухливий","بیہودہ","harakatsiz","ít vận động","久坐的"
"exercise","exercise","oefen","የአካል ብቃት እንቅስቃሴ ማድረግ","ممارسه الرياضه","ব্যায়াম","məşq edin","фізічныя практыкаванні","упражнение","ব্যায়াম","vježbe","cvičení","dyrke motion","Übung","ކަސްރަތު","άσκηση","ejercicio","harjutus","ورزش","Harjoittele","exercice","aclaíocht","תרגיל","व्यायाम","vježbanje","վարժություն","olahraga","æfa","esercizio","エクササイズ","olahraga","ვარჯიში","жаттығу","행사","көнүгүү","Übung","pratimas","vingrinājums","вежбање","дасгал хийх","senaman","eżerċizzju","လေ့ကျင့်ခန်း","व्यायाम","oefening","trening","ćwiczenie","تمرين","exercício","exercițiu","упражнение","cvičenie","telovadba","jimicsi","ushtrim","вежбање","latihan","träning","mazoezi","машқ кардан","ออกกำลังกาย","maşk","ehersisyo","egzersiz yapmak","вправи","ورزش","mashq qilish","tập thể dục","锻炼"
"muscular","muscular","gespierd","ጡንቻ","عضلي","পেশীবহুল","əzələli","мускулісты","мускулест","পেশীবহুল","mišićav","svalnatý","muskuløs","muskulös","މަސްގަނޑު ގިނައެވެ","μυώδης","muscular","lihaseline","عضلانی","lihaksikas","musclé","mhatánach","שְׁרִירִי","मांसल","mišićni","մկանային","berotot","vöðvastæltur","muscolare","筋肉質","otot","კუნთოვანი","бұлшықетті","근육질의","булчуңдуу","muskulär","raumeningas","muskuļots","мускулест","булчинлаг","berotot","muskolari","ကြွက်သား","मांसपेशी","gespierd","muskuløs","muskularny","عضلاتي","muscular","muscular","мускулистый","svalnatý","mišičast","muruq","muskuloz","мишићав","otot","muskulös","ya misuli","мушакӣ","มีกล้ามเนื้อ","muskul","matipuno","kas","м'язовий","پٹھوں","mushak","cơ bắp","肌肉发达的"
"burly","burly","stewig","ቡሊ","قوي البنية","burly","qabarıq","мажны","едър","burly","krupan","statný","kraftig","kräftig","ބުރަކަށި","εύσωμος","fuerte","turske","تنومند","vanttera","costaud","burlaí","מְגוּשָׁם","बलवान","krupan","պինդ","kekar","þungur","corpulento","たくましい","geger","მსუქანი","қалың","억센","боорлуу","burly","stambus","kupls","крупен","бүдүүн","tegap","burly","ထွားသည်။","धमिलो","potig","kraftig","tęgi","خړ","corpulento","voinic","крепкий","statný","zajeten","bursan","trupmadh","крупан","lebeng","bastant","mtukutu","ғафс","แข็งแรง","burly","matipuno","iri yarı","кремезний","گڑبڑ","o'tkir","vạm vỡ","魁梧的"
"lean","lean","leun","ዘንበል","يتكئ","ক্ষীণ","arıq","нішчымнае","постно","রোগা","mršav","opírat se","læne","mager","ލީން","άπαχος","inclinarse","lahja","لاغر","nojata","mince","lean","רָזֶה","दुबला","nagnuti se","նիհար","bersandar","halla","pendere","リーン","kurus","მჭლე","сүйену","기대다","арык","schlank","liesas","liekties","посно","бөхийх","kurus","dgħif","ပိန်တယ်။","दुबला","slank","Lene seg","pochylić się","ټيټ","magro","a se sprijini","худой","chudý","vitka","cufan","ligët","нагнути","kurus","mager","konda","лоғар","เอียง","arkaýyn","sandalan","eğilmek","худий","دبلی","ozg'in","dựa vào","瘦且健康的"
"toned","toned","getinte","ቃና","منغم","টোন কৰা","tonlanmış","таніраванае","тонизирана","টোনড","tonirana","tónovaný","tonet","getönt","ޓޯން ކޮށްފައި ހުރެއެވެ","τονισμένο","tonificado","toonides","پررنگ","sävytetty","tonique","toned","בטון","टोंड","toniran","տոնավորված","kencang","tónað","tonica","引き締まった","nadane","შერბილებული","тоналды","톤","тондалган","getéint","tonuotas","tonēti","тонирани","өнгөлөг","kencang","attenwata","တင်းတိတ်","टोन्ड","afgezwakt","tonet","stonowany","ټون شوی","tonificado","tonifiat","тонированный","tónovaný","napeta","togan","i tonifikuar","тонирана","toned","tonad","toned","тоник","กระชับ","tonly","toned","tonda","тонований","ٹونڈ","tonlangan","săn chắc","调子"
"good","good","goed","ጥሩ","حسن","ভাল","yaxşı","добры","добре","ভাল","dobro","dobrý","godt","gut","ރަނގަޅު","Καλός","bueno","hea","خوب","hyvä","bien","maith","טוֹב","अच्छा","dobro","լավ","bagus","góður","Buono","良い","apik","კარგი","жақсы","좋은","жакшы","gutt","Gerai","labi","добро","сайн","baik","tajba","ကောင်းတယ်","राम्रो","goed","flink","dobry","ښه","Boa","bun","хороший","dobre","dobro","wanaagsan","mirë","Добро","alus","Bra","nzuri","хуб","ดี","gowy","mabuti","iyi","добре","اچھی","yaxshi","tốt","好的"
"love","love","liefde","ፍቅር","الحب","ভালপোৱা","sevgi","каханне","любов","ভালবাসা","ljubav","milovat","kærlighed","Liebe","ލޯބި","αγάπη","amar","armastus","عشق","rakkaus","amour","grá","אהבה","प्यार","ljubav","Սեր","cinta","ást","amore","愛","tresna","სიყვარული","махаббат","사랑","сүйүү","Léift","meilė","mīlestība","љубов","хайр","cinta","imħabba","အချစ်","माया","Liefde","kjærlighet","miłość","مینه","amor","dragoste","любовь","láska","ljubezen","jacayl","dashuri","љубав","cinta","kärlek","upendo","ишк","รัก","söýgi","pag-ibig","aşk","любов","محبت","sevgi","yêu và quý","爱"
"glad","glad","bly","ደስ ብሎኛል","مسرور","পুলকিত","sevindim","рады","радвам се","আনন্দিত","drago","rád","glad","froh","އުފާވުން","χαρούμενος","contento","rõõmus","خوشحالم","iloinen","content","sásta","שַׂמֵחַ","प्रसन्न","radostan","ուրախ","senang","glaður","lieto","嬉しい","bungah","გახარებული","қуанышты","기쁜","кубанычтуу","frou","džiaugiuosi","priecīgs","мило","баяртай","gembira","kuntent","ဝမ်းသာပါတယ်။","खुशी","blij","glad","zadowolony","خوښ","alegre","bucuros","радостный","rád","vesel","faraxsan","i gëzuar","драго","bungah","glad","furahi","шод","ยินดี","begenýärin","masaya","memnun","радий","خوشی","xursand","vui vẻ","高兴的"
"excellent","excellent","uitstekend","በጣም ጥሩ","ممتاز","অতি উত্তম","əla","выдатны","отлично","চমৎকার","odlično","vynikající","fremragende","Ausgezeichnet","ވަރަށް މޮޅު","έξοχος","excelente","suurepärane","عالی","erinomainen","excellent","ar fheabhas","מְעוּלֶה","अति उत्कृष्ट","izvrsno","գերազանց","bagus sekali","Æðislegt","eccellente","優れた","apik banget","შესანიშნავი","тамаша","훌륭한","сонун","excellent","puikiai","izcili","одлично","маш сайн","cemerlang","eċċellenti","အရမ်းကောင်းတဲ့","उत्कृष्ट","excellent","utmerket","doskonały","عالي","excelente","excelent","отличный","vynikajúce","odlično","heer sare ah","i shkëlqyer","одличан","alus teuing","excellent","bora","аъло","ยอดเยี่ยม","gaty gowy","mahusay","harika","відмінно","بہترین","ajoyib","Xuất sắc","出色的"
"beautiful","beautiful","pragtige","ቆንጆ","جميلة","ধুনীয়া","gözəl","прыгожая","красив","সুন্দর","predivno","Krásná","smuk","schöne","ރީތި","πανεμορφη","hermosa","ilus","زیبا","kaunis","belle","go hálainn","יפה","सुंदर","lijep","գեղեցիկ","Cantik","falleg","bellissimo","綺麗な","ayu","ლამაზი","әдемі","아름다운","сулуу","schéin","graži","skaists","убава","үзэсгэлэнтэй","cantik","sbieħ","လှသောအဆင်း","सुन्दर","mooi","vakker","Piękny","ښکلی","lindo","frumoasa","Красивый","krásne","lepa","qurux badan","e bukur","Лепа","geulis","skön","mrembo","зебо","สวย","owadan","maganda","güzel","гарний","خوبصورت","go'zal","đẹp","美丽的"
"magnificent","magnificent","manjifiek","ድንቅ","رائع","চমত্‍কাৰ","möhtəşəm","цудоўны","великолепен","মহৎ","veličanstveno","velkolepý","storslået","herrlich","މަތިވެރި","μεγαλοπρεπής","magnífico","suurepärane","باشکوه","upea","magnifique","iontach","מְפוֹאָר","शानदार","veličanstvena","հոյակապ","agung","stórkostlegt","magnifico","壮大","nggumunake","დიდებული","керемет","웅장한","керемет","herrlech","didinga","lielisks","величествен","гайхалтай","tersergam indah","magnífico","ခမ်းနားသည်။","भव्य","magnifiek","storslått","wspaniały","عالي","magnífico","magnific","великолепный","veľkolepý","veličastno","qurux badan","madhështore","величанствени","megah","magnifik","mzuri","бошукӯҳ","งดงาม","ajaýyp","kahanga-hanga","muhteşem","чудовий","شاندار","ajoyib","tráng lệ","华丽的"
"joyful","joyful","vreugdevol","ደስተኛ","بهيجة","আনন্দময়","şən","радасны","радостен","আনন্দদায়ক","radostan","rozradostněný","glad","froh","އުފަލުންނެވެ","χαρούμενος","alegre","rõõmustav","شادی آور","iloinen","joyeux","áthasach","מלא שמחה","आनंदपूर्ण","radostan","ուրախալի","gembira","glaður","gioioso","楽しげ","bungah-bungah","მხიარული","қуанышты","즐거운","кубанычтуу","frou","džiaugsmingas","dzīvespriecīgs","радосен","баяр хөөртэй","menggembirakan","ferrieħi","ရွှင်လန်းသော","आनन्दित","blij","gledelig","radosny","خوشحاله","alegre","vesel","радостный","radostný","veselo","farxad leh","i gëzuar","радостан","gumbira","glad","furaha","шодмон","สนุกสนาน","şat","masayahin","neşeli","радісний","خوش کن","quvonchli","hân hoan","快乐"
"spectacular","spectacular","skouspelagtige","አስደናቂ","مُذهِل","চকুত লগা","möhtəşəm","відовішчны","грандиозен","দর্শনীয়","spektakularno","okázalý","spektakulære","spektakulär","ވަރަށް ފުރިހަމަ","θεαματικός","espectacular","suurejooneline","دیدنی و جذاب - تماشایی","näyttävä","spectaculaire","iontach","מַרהִיב","दर्शनीय","spektakularan","տպավորիչ","spektakuler","stórbrotið","spettacolare","壮大な","spektakuler","სანახაობრივი","әсерлі","장엄한","укмуштуу","spektakulär","įspūdingas","iespaidīgs","спектакуларен","гайхалтай","spektakuler","spettakolari","အံ့မခန်း","दर्शनीय","spectaculair","spektakulære","spektakularny","په زړه پورې","espetacular","spectaculos","зрелищный","veľkolepé","spektakularno","cajiib ah","spektakolare","спектакуларно","spektakuler","spektakulär","ya kuvutia","тамошобоб","งดงาม","ajaýyp","kagila-gilalas","muhteşem","видовищний","شاندار","ajoyib","đẹp mắt","壮观的"
